author,month,rank,review,title,year
by Malcolm Gladwell,12.0,5.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2015.0
by Charles Duhigg,12.0,6.0,,THE POWER OF HABIT,2015.0
by Charles G. Koch,12.0,7.0,,GOOD PROFIT,2015.0
by Ben S. Bernanke,12.0,8.0,,THE COURAGE TO ACT,2015.0
by Sophia Amoruso,12.0,9.0,,#GIRLBOSS,2015.0
by Tony Robbins,12.0,10.0,,MONEY: MASTER THE GAME,2015.0
by Michael Lewis,1.0,1.0,https://www.nytimes.com/2010/03/15/books/15book.html,THE BIG SHORT,2016.0
by Jocko Willink and Leif Babin,1.0,2.0,,EXTREME OWNERSHIP,2016.0
by Ashlee Vance,1.0,3.0,,ELON MUSK,2016.0
by Daniel Kahneman,1.0,4.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Charles Duhigg,1.0,5.0,,THE POWER OF HABIT,2016.0
by Malcolm Gladwell,1.0,6.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Urban Meyer with Wayne Coffey,1.0,7.0,,ABOVE THE LINE,2016.0
by Steven D. Levitt and Stephen J. Dubner,1.0,8.0,,WHEN TO ROB A BANK,2016.0
by Sophia Amoruso,1.0,9.0,,#GIRLBOSS,2016.0
by Sven Beckert,1.0,10.0,https://www.nytimes.com/2014/12/30/books/empire-of-cotton-by-sven-beckert.html,EMPIRE OF COTTON,2016.0
by Michael Lewis,2.0,1.0,https://www.nytimes.com/2010/03/15/books/15book.html,THE BIG SHORT,2016.0
by Daymond John,2.0,2.0,,THE POWER OF BROKE,2016.0
by Robert M. Gates,2.0,3.0,,A PASSION FOR LEADERSHIP,2016.0
by Charles Duhigg,2.0,4.0,,THE POWER OF HABIT,2016.0
by Jane Bryant Quinn,2.0,5.0,,HOW TO MAKE YOUR MONEY LAST,2016.0
by Daniel Kahneman,2.0,6.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Malcolm Gladwell,2.0,7.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Jocko Willink and Leif Babin,2.0,8.0,,EXTREME OWNERSHIP,2016.0
"by Laurence J. Kotlikoff, Philip Moeller and Paul Solman",2.0,9.0,,GET WHAT'S YOURS,2016.0
by Ashlee Vance,2.0,10.0,,ELON MUSK,2016.0
by Adam Grant,3.0,1.0,,ORIGINALS,2016.0
by Michael Lewis,3.0,2.0,https://www.nytimes.com/2010/03/15/books/15book.html,THE BIG SHORT,2016.0
by Alec Ross,3.0,3.0,,THE INDUSTRIES OF THE FUTURE,2016.0
by Daymond John,3.0,4.0,,THE POWER OF BROKE,2016.0
by Charles Duhigg,3.0,5.0,,THE POWER OF HABIT,2016.0
by Martin Lindstrom,3.0,6.0,,SMALL DATA,2016.0
by Malcolm Gladwell,3.0,7.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Sophia Amoruso,3.0,8.0,,#GIRLBOSS,2016.0
by Robert M. Gates,3.0,9.0,,A PASSION FOR LEADERSHIP,2016.0
by Jocko Willink and Leif Babin,3.0,10.0,,EXTREME OWNERSHIP,2016.0
by Michael Lewis,4.0,1.0,https://www.nytimes.com/2010/03/15/books/15book.html,THE BIG SHORT,2016.0
by Adam Grant,4.0,2.0,,ORIGINALS,2016.0
by Malcolm Gladwell,4.0,3.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
by Daniel Kahneman,4.0,4.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2016.0
by Gary Vaynerchuk,4.0,5.0,,#ASKGARYVEE,2016.0
by Kristin Cavallari,4.0,6.0,,BALANCING IN HEELS,2016.0
by Jake Knapp with John Zeratsky and Braden Kowitz,4.0,7.0,,SPRINT,2016.0
by Charles Duhigg,4.0,8.0,,THE POWER OF HABIT,2016.0
by Alec Ross,4.0,9.0,,THE INDUSTRIES OF THE FUTURE,2016.0
by Jocko Willink and Leif Babin,4.0,10.0,,EXTREME OWNERSHIP,2016.0
by Steve Case,5.0,1.0,,THE THIRD WAVE,2016.0
by Tony Robbins,5.0,2.0,,MONEY: MASTER THE GAME,2016.0
by Dan Lyons,5.0,3.0,https://www.nytimes.com/2016/04/10/books/review/disrupted-by-dan-lyons.html,DISRUPTED,2016.0
by Phil Knight,5.0,4.0,,SHOE DOG,2016.0
by Jonathan and Drew Scott,5.0,5.0,,DREAM HOME,2016.0
by Charles Duhigg,5.0,6.0,,THE POWER OF HABIT,2016.0
by Adam Grant,5.0,7.0,,ORIGINALS,2016.0
by Michael Lewis,5.0,8.0,https://www.nytimes.com/2010/03/15/books/15book.html,THE BIG SHORT,2016.0
by Ashlee Vance,5.0,9.0,,ELON MUSK,2016.0
by Malcolm Gladwell,5.0,10.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2016.0
