author,month,rank,review,title,year
by Christopher Leonard,9.0,7.0,https://www.nytimes.com/2019/08/13/books/review-kochland-secret-history-koch-industries.html,KOCHLAND,2019.0
by Daniel Kahneman,9.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2019.0
by Jocko Willink and Leif Babin,9.0,9.0,,EXTREME OWNERSHIP,2019.0
by Beth Macy,9.0,10.0,https://www.nytimes.com/2018/07/31/books/review/beth-macy-dopesick.html,DOPESICK,2019.0
by Brené Brown,10.0,1.0,,DARE TO LEAD,2019.0
by Robert Iger,10.0,2.0,,THE RIDE OF A LIFETIME,2019.0
by James Clear,10.0,3.0,,ATOMIC HABITS,2019.0
by Stephen A. Schwarzman,10.0,4.0,,WHAT IT TAKES,2019.0
by Malcolm Gladwell,10.0,5.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by David Epstein,10.0,6.0,https://www.nytimes.com/2019/05/28/books/review/david-epstein-range.html,RANGE,2019.0
by John Carreyrou,10.0,7.0,https://www.nytimes.com/2018/05/21/books/review/bad-blood-john-carreyrou.html,BAD BLOOD,2019.0
by Jocko Willink and Leif Babin,10.0,8.0,,EXTREME OWNERSHIP,2019.0
by Brad Smith and Carol Ann Browne,10.0,9.0,,TOOLS AND WEAPONS,2019.0
by Ramit Sethi,10.0,10.0,,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",2019.0
by Ryan Holiday,11.0,1.0,,STILLNESS IS THE KEY,2019.0
by Marc Benioff and Monica Langley,11.0,2.0,,TRAILBLAZER,2019.0
by Robert Iger,11.0,3.0,,THE RIDE OF A LIFETIME,2019.0
by Simon Sinek,11.0,4.0,,THE INFINITE GAME,2019.0
by Brené Brown,11.0,5.0,,DARE TO LEAD,2019.0
by James Clear,11.0,6.0,,ATOMIC HABITS,2019.0
by Eve Rodsky,11.0,7.0,,FAIR PLAY,2019.0
by Stephen A. Schwarzman,11.0,8.0,,WHAT IT TAKES,2019.0
by Tilman Fertitta,11.0,9.0,,SHUT UP AND LISTEN!,2019.0
by Malcolm Gladwell,11.0,10.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by Gregory Zuckerman,12.0,1.0,https://www.nytimes.com/2019/11/13/books/review/the-man-who-solved-the-market-gregory-zuckerman.html,THE MAN WHO SOLVED THE MARKET,2019.0
by James Clear,12.0,2.0,,ATOMIC HABITS,2019.0
by Brené Brown,12.0,3.0,,DARE TO LEAD,2019.0
by Simon Sinek,12.0,4.0,,THE INFINITE GAME,2019.0
by Robert Iger,12.0,5.0,,THE RIDE OF A LIFETIME,2019.0
by Jocko Willink and Leif Babin,12.0,6.0,,EXTREME OWNERSHIP,2019.0
by Malcolm Gladwell,12.0,7.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2019.0
by Ray Dalio,12.0,8.0,,PRINCIPLES,2019.0
by Daniel Kahneman,12.0,9.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2019.0
by Marc Benioff and Monica Langley,12.0,10.0,,TRAILBLAZER,2019.0
